2,04,022,G4,110,495,3,2,77
3,01,119,C5,112,1045,4,2,64
3,01,123,C4,110,674,3,4,137
3,01,128,G3,112,674,3,4,142
3,01,128,D#4,120,605,3,4,73
3,04,136,G#3,111,770,5,0,26
3,04,136,C4,112,660,4,3,136
3,04,136,D4,111,605,4,3,81
3,04,145,D5,112,440,4,2,145
4,02,158,D#5,113,110,4,3,48
4,03,031,F5,112,475,5,1,66
4,03,128,D#5,112,729,5,2,197
4,03,136,C4,111,550,5,2,26
4,03,136,D#4,112,605,5,2,81
4,03,145,G3,116,513,5,1,218
5,02,119,D4,111,605,6,1,64
5,02,123,G3,111,674,6,1,137
5,02,123,C4,112,385,5,4,68
5,02,123,G4,111,475,5,4,158
5,04,009,B3,111,330,6,1,119
5,04,163,G4,112,385,6,2,108
6,01,119,C4,118,605,6,4,64
6,01,119,C5,116,770,7,1,9
6,01,132,G3,116,695,6,4,167
6,03,163,D5,111,165,6,4,108
6,04,114,C3,113,330,7,2,4
6,04,114,D#5,111,330,7,2,4
7,01,053,G3,112,293,7,2,126
7,01,053,G4,113,275,7,2,108
7,01,207,C4,115,165,7,2,152
7,01,207,D#5,111,275,7,3,42
7,02,000,C3,118,234,7,3,14
7,02,092,C5,112,461,7,4,113
7,02,141,D#4,121,69,7,2,210
7,02,216,G5,112,293,7,4,69
7,03,101,F2,113,1135,9,0,136
7,03,114,F5,111,440,8,1,114
7,04,004,C3,112,509,8,2,73
7,04,106,F3,114,385,8,2,51
7,04,211,A3,111,605,8,3,156
8,01,101,C4,111,330,8,2,211
8,01,207,F4,113,385,8,3,152
8,02,110,A4,112,275,8,3,165
8,04,000,G3,113,234,9,1,14
8,04,004,B3,111,293,9,1,77
8,04,004,D4,112,385,9,1,169
8,04,004,G4,110,550,9,2,114
9,01,114,C4,122,165,9,2,59
9,01,119,C5,111,695,9,4,154
9,01,123,C2,112,715,9,4,178
9,02,053,G2,116,715,10,1,108
9,02,211,C3,113,248,9,4,19
9,03,150,D3,111,165,9,4,95
9,03,150,G3,124,330,10,1,40
9,03,150,D4,120,110,9,4,40
9,03,154,D5,113,165,9,4,99
9,04,092,D#4,116,165,10,1,37
9,04,097,D#3,112,330,10,1,207
9,04,097,D#5,111,330,10,1,207
10,01,040,C3,113,495,10,3,95
10,01,101,C4,123,385,10,3,46
10,01,110,C5,112,990,11,2,0
10,01,207,D#3,117,165,10,2,152
10,01,207,G5,111,729,11,1,56
10,01,211,G3,111,330,10,3,101
10,02,145,D#3,114,165,10,3,90
